ZCTA,density,classification
2575,48,3
2576,160,2
2601,713,2
2630,205,2
2631,196,2
2632,630,2
2633,266,2
2635,259,2
2637,162,2
2638,267,2
2639,528,2
2641,129,2
2642,171,2
2644,384,2
2645,255,2
2646,301,2
2648,301,2
2649,263,2
2650,284,2
2652,72,3
2653,246,2
2655,251,2
2657,183,2
2659,257,2
2660,375,2
2664,643,2
2666,32,3
2667,69,3
2668,85,2
2669,160,2
2670,344,2
2671,264,2
2673,384,2
2675,353,2
2702,88,3
2703,630,2
2715,94,3
2717,95,3
2718,229,2
2719,541,2
2720,1192,2
2721,2746,1
2723,4053,1
2724,4085,1
2725,416,2
2726,1104,2
2738,135,2
2739,144,2
2740,3146,1
2743,214,2
2744,3669,1
2745,970,2
2746,2862,1
2747,136,2
2748,209,2
2760,571,2
2762,300,2
2763,755,2
2764,133,2
2766,231,2
2767,208,2
2769,87,2
2770,55,3
2771,276,2
2777,268,2
2779,128,2
2780,602,2
2790,115,2
2791,128,2
2802,2128,2
2804,97,3
2806,730,2
2807,57,3
2808,108,2
2809,866,2
2812,80,3
2813,89,3
2814,64,3
2815,24,3
2816,333,2
2817,44,2
2818,337,2
2822,40,3
2825,36,3
2826,120,2
2827,36,2
2828,639,2
2830,118,2
2831,134,2
2832,81,3
2833,45,3
2835,250,2
2837,73,2
2838,987,2
2839,168,2
2840,1473,2
2842,530,2
2852,294,2
2857,78,3
2858,332,2
2859,84,3
2860,3413,1
2861,3001,1
2863,5438,1
2864,495,2
2865,400,2
2871,404,2
2872,19,2
2874,139,2
2875,108,2
2876,1724,2
2878,230,2
2879,225,2
2881,301,2
2882,472,2
2885,759,2
2886,866,2
2888,1417,2
2889,1305,2
2891,346,2
2892,66,3
2893,1653,2
2894,55,3
2895,2205,2
2896,189,2
2898,51,3
2903,2700,1
2904,2538,2
2905,2259,1
2906,3602,1
2907,3985,1
2908,4024,1
2909,4222,1
2910,2430,1
2911,2636,2
2914,1868,2
2915,1356,2
2916,1392,2
2917,209,2
2919,499,2
2920,1571,2
2921,334,2
3031,118,2
3032,70,3
3033,82,3
3034,44,3
3036,59,3
3037,32,3
3038,351,2
3042,94,3
3043,19,3
3044,89,3
3045,139,2
3046,33,3
3047,24,3
3048,46,3
3049,89,3
3051,314,2
3052,189,2
3053,203,2
3054,292,2
3055,238,2
3057,52,3
3060,1849,1
3062,871,2
3063,831,2
3064,1380,2
3070,43,3
3071,54,3
3076,165,2
3077,134,2
3079,451,2
3082,22,3
3084,23,3
3086,53,3
3087,176,2
3101,2372,1
3102,1483,2
3103,1425,1
3104,1663,2
3106,134,2
3109,550,2
3110,224,2
3215,2,3
3216,21,3
3217,89,3
3218,26,3
3220,96,3
3221,19,3
3222,31,3
3223,20,3
3224,22,3
3225,48,3
3226,36,3
3227,7,3
3229,51,3
3230,13,3
3234,50,3
3235,116,2
3237,24,3
3240,14,3
3241,9,3
3242,40,3
3243,16,3
3244,39,3
3245,28,3
3246,341,2
3249,77,3
3251,5,3
3253,69,3
3254,29,3
3255,24,3
3256,23,3
3257,73,3
3258,44,3
3259,7,3
3260,13,3
3261,57,3
3262,10,3
3263,65,3
3264,58,3
3266,9,3
3268,15,3
3269,24,3
3273,24,3
3275,104,2
3276,83,3
3278,19,3
3279,8,3
3280,10,3
3281,53,3
3282,9,3
3284,10,3
3285,21,3
3287,20,3
3290,37,3
3301,272,2
3303,92,2
3304,97,3
3307,40,3
3431,167,2
3440,30,3
3441,38,3
3442,52,3
3443,27,3
3444,22,3
3445,14,3
3446,58,3
3447,28,3
3448,17,3
3449,24,3
3450,24,3
3451,79,3
3452,58,3
