ZCTA,density,classification
18219,774,2
18220,169,2
18221,79,3
18222,90,3
18224,161,2
18229,56,3
18231,233,2
18232,1114,2
18234,645,2
18235,97,3
18237,208,2
18239,401,2
18240,57,3
18241,126,2
18242,90,3
18244,180,2
18245,39,3
18248,18,3
18249,51,3
18250,148,2
18252,79,3
18254,213,2
18255,24,3
18256,145,2
18301,241,2
18302,98,3
18321,235,2
18322,145,2
18323,68,3
18324,73,3
18325,24,3
18326,50,3
18327,176,2
18328,35,3
18330,185,2
18331,97,3
18332,79,3
18333,106,2
18334,67,3
18335,271,2
18336,119,2
18337,68,3
18342,206,2
18343,69,3
18344,198,2
18346,94,3
18347,54,3
18350,39,3
18351,603,2
18352,112,2
18353,97,3
18354,107,2
18355,82,3
18360,134,2
18370,85,3
18371,68,3
18372,131,2
18403,118,2
18405,28,3
18407,138,2
18411,157,2
18414,51,3
18415,17,3
18417,8,3
18419,45,3
18421,56,3
18424,28,3
18425,24,3
18426,32,3
18428,29,3
18431,40,3
18433,96,3
18434,276,2
18435,34,3
18436,62,3
18438,70,3
18439,7,3
18441,40,3
18443,15,3
18444,45,3
18445,26,3
18446,29,3
18447,219,2
18451,39,3
18452,1099,2
18453,9,3
18456,37,3
18458,22,3
18461,9,3
18462,7,3
18464,42,3
18465,13,3
18466,152,2
18469,16,3
18470,15,3
18471,92,3
18472,27,3
18473,169,2
18503,1123,1
18504,1038,2
18505,1008,1
18507,211,2
18508,732,2
18509,1725,1
18510,2261,1
18512,492,2
18517,512,2
18518,924,2
18519,944,2
18602,61,3
18603,159,2
18610,59,3
18612,113,2
18614,8,3
18615,42,3
18616,6,3
18617,131,2
18618,89,3
18619,4,3
18621,45,3
18622,28,3
18623,19,3
18624,22,3
18625,321,2
18626,8,3
18628,5,3
18629,8,3
18630,21,3
18631,315,2
18632,34,3
18634,405,2
18635,41,3
18636,13,3
18640,261,2
18641,662,2
18642,351,2
18643,292,2
18644,201,2
18651,315,2
18655,36,3
18656,16,3
18657,39,3
18660,34,3
18661,18,3
18701,1966,1
18702,242,2
18704,1391,2
18705,1190,2
18706,267,2
18707,117,2
18708,213,2
18709,1778,2
18801,21,3
18810,54,3
18812,22,3
18817,64,3
18818,13,3
18821,151,2
18822,36,3
18824,19,3
18826,17,3
18828,14,3
18829,13,3
18830,13,3
18831,15,3
18832,12,3
18833,8,3
18834,23,3
18837,14,3
18840,103,2
18842,27,3
18843,141,2
18844,21,3
18845,14,3
18846,12,3
18847,17,3
18848,36,3
18850,15,3
18851,10,3
18853,17,3
18854,22,3
18901,536,2
18902,256,2
18914,416,2
18915,357,2
18917,1547,2
18920,56,3
18923,194,2
18925,189,2
18929,369,2
18930,48,3
18932,116,2
18938,147,2
18940,333,2
18942,58,3
18944,194,2
18947,90,3
18951,196,2
18954,475,2
18955,229,2
18960,254,2
18962,828,2
18964,555,2
18966,876,2
18969,341,2
18970,656,2
18972,64,3
18974,838,2
18976,643,2
18977,321,2
18980,76,2
19001,1832,2
19002,589,2
19003,2729,2
19004,1364,2
19006,616,2
19007,1217,2
19008,1143,2
19009,195,2
19010,920,2
19012,1303,2
19013,2119,2
19014,857,2
19015,2024,2
19017,112,2
19018,3612,2
19020,1259,2
19021,1092,2
19022,1088,2
19023,3719,2
19025,660,2
19026,3379,1
19027,2009,2
19029,708,2
19030,1034,2
19031,664,2
19032,2422,2
19033,2700,2
19034,342,2
19035,306,2
19036,3489,2
19038,1458,2
19040,1370,2
19041,737,2
19043,2588,2
19044,790,2
19046,1151,2
19047,743,2
19050,3058,2
19053,930,2
19054,1543,2
19055,1707,2
19056,1487,2
19057,1399,2
19060,483,2
19061,1100,2
19063,624,2
19064,1099,1
19066,1296,2
19067,695,2
19070,2553,2
19072,1246,2
19073,362,2
19074,2879,2
19075,1228,2
19076,3417,2
19078,2272,2
19079,1875,2
19081,1595,1
19082,5714,2
19083,2375,2
19085,314,2
19086,1124,2
19087,768,2
19090,1382,2
19094,2219,2
19095,1441,2
19096,1551,2
19102,16153,1
19103,23124,1
19104,5780,1
19106,8309,1
19107,13878,1
19111,5001,1
19114,2392,1
19115,2486,1
19116,2595,1
19118,1378,1
19119,3687,1
19120,6568,1
19121,5924,1
19122,5193,1
19123,4851,1
19124,4613,1
19125,6773,1
19126,5177,1
19127,5031,1
19128,2289,1
19129,2169,1
19130,10115,1
19131,3460,1
19132,6509,1
19133,6712,1
19134,5724,1
19135,5265,1
19136,2814,1
19137,1362,1
19138,6987,1
19139,9469,1
19140,6155,1
19141,6698,1
19142,5715,1
19143,7996,1
19144,5461,1
19145,3863,1
19146,9457,1
19147,12234,1
19148,4647,1
19149,7819,1
19150,6660,1
19151,4932,1
19152,4661,1
19153,718,2
19154,2005,2
19301,780,2
19310,75,3
19311,208,2
19312,454,2
19317,174,2
19320,225,2
19330,56,3
19333,860,2
19335,404,2
19341,517,2
19342,367,2
19343,101,3
19344,129,2
19348,215,2
19350,133,2
19352,141,2
19355,239,2
19358,592,2
19362,67,3
19363,114,2
19365,141,2
19372,935,2
19373,203,2
19374,192,2
19380,628,2
19382,415,2
19390,181,2
19401,2547,1
19403,739,2
19405,3050,2
19406,729,2
19422,586,2
19425,175,2
19426,346,2
19428,997,2
19436,1046,2
19437,249,2
19438,395,2
19440,599,2
19444,866,2
19446,968,2
19453,1093,2
19454,843,2
19456,666,2
19460,448,2
19462,681,2
19464,708,2
19465,183,2
19468,607,2
19473,229,2
19474,1799,2
19475,257,2
19492,288,2
19501,410,2
19503,313,2
19504,82,3
19505,144,2
19506,40,3
19507,31,3
19508,156,2
19510,473,2
19512,160,2
19518,143,2
19520,58,2
19522,121,2
19525,283,2
19526,79,3
19529,21,3
19530,89,3
19533,133,2
19534,41,3
19536,528,2
19539,81,3
19540,130,2
19541,72,3
19543,91,2
19545,386,2
19547,59,3
19549,88,3
19550,102,3
19551,77,3
19554,329,2
19555,106,2
19559,519,2
19560,380,2
19562,1103,2
19565,176,2
19567,94,3
19601,3135,1
19602,2718,1
19604,3782,1
19605,454,2
19606,485,2
19607,877,2
19608,321,2
19609,1639,2
19610,927,2
19611,1930,1
19701,535,2
19702,672,2
19703,1525,2
19706,184,2
19707,444,2
19709,144,2
19711,709,2
19713,867,2
19720,576,2
19730,129,2
19731,111,2
19734,49,3
19801,1498,1
19802,3092,1
19803,685,2
19804,971,2
19805,2870,1
19806,2874,1
19807,160,2
19808,1112,2
19809,877,2
19810,1283,2
19901,166,2
19904,289,2
19930,255,2
19933,49,3
19934,108,2
19936,489,2
19938,60,3
19939,95,3
19940,50,3
19941,27,3
19943,67,3
19944,261,2
19945,44,3
19946,77,3
19947,48,3
19950,34,3
19951,64,3
19952,44,3
19953,54,3
19954,66,3
19956,57,3
19958,187,2
19960,75,3
19962,241,2
19963,70,3
19964,50,3
19966,120,2
19967,113,2
19968,62,3
19970,304,2
19971,374,2
19973,114,2
19975,132,2
19977,89,3
19979,119,2
20001,7572,1
20002,4370,1
20003,5229,1
20004,3239,1
20005,19521,1
20006,2578,1
20007,4250,1
20008,5204,1
20009,20399,1
20010,11660,1
20011,4723,1
20012,2523,1
20015,1868,1
20016,3095,1
20017,3293,1
20018,2323,1
20019,3578,1
20020,4370,1
20024,2598,1
20032,2600,1
20036,11640,1
20037,10352,1
20105,99,2
20106,31,3
20109,627,2
20110,1113,2
20111,583,2
20112,209,2
20115,24,3
20117,26,3
20119,22,3
20120,807,2
20121,1145,2
20124,231,2
20129,60,3
20130,15,3
20132,62,3
20135,26,3
20136,566,2
20137,32,3
20141,73,3
20143,51,3
20144,10,3
20147,958,2
20148,541,2
20151,429,2
20152,306,2
20155,344,2
20158,104,2
20164,1624,2
20165,1168,2
20166,190,2
20169,202,2
20170,1509,2
20171,1343,2
20175,153,2
20176,271,2
20180,52,3
20181,45,3
20184,9,3
20186,87,3
20187,106,2
20190,1917,2
20191,1414,2
20194,1794,2
20197,45,3
20198,14,3
20317,1526,2
20601,187,2
20602,648,2
20603,572,2
20606,61,3
20607,158,2
20608,20,3
20609,50,3
20611,55,3
20612,515,2
20613,55,3
20615,215,2
20616,207,2
20617,44,3
20618,44,3
20619,259,2
20620,135,2
20621,37,3
20622,38,3
20623,442,2
20624,37,3
20625,938,2
20626,133,2
20628,34,3
20629,571,2
20630,25,3
20632,17,3
20634,323,2
20636,96,3
20637,58,3
20639,110,2
20640,88,3
20645,150,2
20646,81,3
20650,82,3
20653,283,2
20657,231,2
20658,111,2
20659,83,3
20662,18,3
20664,28,3
20667,97,3
20670,23,3
20674,188,2
20675,98,3
20676,81,3
20677,53,3
20678,90,3
20680,74,3
20684,49,3
20685,100,3
20687,26,3
20688,677,2
20689,72,3
20690,164,2
20692,46,3
20693,19,3
20695,194,2
20705,551,2
20706,1181,2
20707,1133,2
20708,710,2
20710,3271,2
20711,75,3
20712,5001,2
20714,793,2
20715,624,2
20716,701,2
20720,620,2
20721,550,2
20722,1192,2
20723,762,2
20724,784,2
20732,351,2
20733,309,2
20735,462,2
20736,115,2
20737,1390,2
20740,1167,2
20743,1429,2
20744,685,2
20745,1706,2
20746,1465,2
20747,2007,2
20748,1710,2
20751,191,2
20754,139,2
20755,280,2
20758,65,3
20759,170,2
20762,167,2
20763,681,2
20764,402,2
20765,481,2
20769,270,2
20770,1297,2
20772,215,2
20774,471,2
20776,51,3
20777,143,2
20778,95,3
20779,71,3
20781,1561,2
20782,2549,1
20783,2285,1
20784,2188,2
20785,1292,2
20794,300,2
20814,2560,1
20815,2366,2
20816,1829,2
20817,964,2
20818,742,2
20832,860,2
20833,129,2
20837,46,3
20838,38,3
20841,109,2
20842,13,3
20850,1283,2
20851,2038,2
20852,2230,1
20853,1081,2
20854,496,2
20855,373,2
20860,208,2
20861,167,2
20862,101,3
20866,632,2
20868,123,2
20871,199,2
20872,211,2
20874,1003,2
20876,721,2
20877,1990,1
20878,1020,2
20879,1046,2
20880,815,2
20882,117,2
20886,2573,1
20895,1765,2
20896,1356,2
20899,1703,2
20901,2297,1
20902,2146,2
20903,1940,2
20904,1497,2
20905,452,2
20906,1989,2
20910,3860,1
20912,3568,2
21001,279,2
21005,41,2
21009,985,2
21012,800,2
21013,112,2
21014,973,2
21015,318,2
21017,991,2
21028,90,3
21029,215,2
21030,431,2
21032,186,2
21034,51,3
21035,94,3
21036,115,2
21037,454,2
21040,1090,2
21042,351,2
21043,919,2
21044,1458,2
21045,1517,2
21046,774,2
21047,176,2
21048,142,2
21050,225,2
21051,259,2
21052,1587,2
21053,52,3
21054,208,2
21056,86,2
21057,94,3
21060,904,2
21061,1735,2
21071,208,2
21074,149,2
21075,667,2
21076,375,2
21078,235,2
21082,55,3
21084,111,2
21085,348,2
21087,143,2
21090,566,2
21093,764,2
21102,100,3
21104,86,2
21108,480,2
21111,51,3
21113,843,2
21114,1715,2
21117,671,2
21120,58,3
21122,692,2
21128,726,2
21131,115,2
21132,43,3
21133,1089,2
21136,225,2
21140,971,2
21144,683,2
21146,914,2
21152,100,3
21153,61,2
21154,56,3
21155,43,3
21156,92,3
21157,179,2
21158,99,3
21160,53,3
21161,41,3
21162,175,2
21163,194,2
21201,7570,1
21202,5175,1
21204,1257,2
21205,2741,1
21206,2727,1
21207,1818,2
21208,1182,2
21209,1617,2
21210,1648,1
21211,2978,1
21212,2764,1
21213,3458,1
21214,2859,1
21215,3415,1
21216,3565,1
21217,6573,1
21218,4747,1
21219,432,2
21220,705,2
21221,1133,2
21222,1978,2
21223,3639,1
21224,2097,1
21225,1896,1
21226,294,2
21227,1109,2
21228,1232,2
21229,3030,1
21230,2371,1
21231,8761,1
21234,2308,1
21236,1837,2
21237,1024,2
21239,3632,1
21244,1005,2
21286,958,2
21401,794,2
21402,113,2
21403,1428,2
21405,205,2
21409,523,2
21502,191,2
21520,13,3
21521,23,3
21523,157,2
21524,75,3
21529,72,3
21530,11,3
21531,15,3
21532,75,3
21536,16,3
21538,16,3
21539,31,3
21541,26,3
21542,295,2
21545,53,3
21550,28,3
21555,7,3
21557,30,3
21561,12,3
21562,44,3
21601,91,3
21607,11,3
21610,97,3
21612,41,3
21613,48,3
21617,32,3
21619,261,2
21620,44,3
21622,5,3
21623,19,3
21625,24,3
21628,215,2
21629,43,3
21631,41,3
21632,34,3
21634,30,3
21635,28,3
21636,20,3
21638,192,2
21639,49,3
21640,22,3
21643,48,3
21645,10,3
21647,41,3
21648,6,3
21649,30,3
21651,27,3
21654,57,3
21655,36,3
21657,12,3
21658,39,3
21659,13,3
21660,43,3
21661,38,3
21662,32,3
21663,131,2
21664,497,2
21665,30,3
21666,206,2
21667,23,3
21668,14,3
21669,8,3
21671,164,2
21672,12,3
21673,24,3
21676,29,3
21677,19,3
21678,25,3
21679,20,3
21701,375,2
21702,362,2
21703,359,2
21704,161,2
21710,63,3
21711,16,3
21713,84,3
21716,585,2
21719,174,2
21722,35,3
21723,79,3
21727,52,3
21733,66,3
21734,1593,2
21737,87,3
21738,140,2
21740,334,2
21742,249,2
21750,26,3
21754,90,3
21755,59,3
21756,61,3
21757,29,3
21758,54,3
21766,8,3
21767,1561,2
21769,98,3
21770,158,2
21771,116,2
21773,50,3
21774,272,2
21776,58,3
21777,234,2
21778,23,3
21779,41,3
21780,26,3
21782,52,3
21783,74,3
21784,227,2
21787,68,3
21788,66,3
21791,39,3
21793,167,2
21794,87,3
21795,122,2
21797,68,3
21798,52,3
21801,254,2
21804,201,2
21810,20,3
21811,97,3
21813,44,3
21814,45,3
21817,149,2
21821,40,3
21822,27,3
21826,413,2
21829,12,3
21830,47,3
21835,26,3
21837,22,3
21838,13,3
21840,33,3
21841,11,3
21842,619,2
21849,36,3
21850,37,3
21851,28,3
21853,32,3
21856,10,3
21861,111,2
21863,17,3
21864,11,3
21865,13,3
21869,4,3
21871,12,3
21872,15,3
21874,31,3
21875,106,2
21901,119,2
21903,188,2
21904,109,2
21911,104,2
21912,15,3
21913,527,2
21914,438,2
21915,49,3
21917,111,2
21918,86,3
21919,33,3
21921,170,2
22003,1550,2
22015,1771,2
22025,894,2
22026,545,2
22027,1199,2
22030,984,2
22031,1692,2
22032,1323,2
22033,2048,2
22039,254,2
22041,3796,1
22042,1818,2
22043,1965,2
22044,2566,2
22046,2232,2
22060,201,2
22066,216,2
22079,371,2
22101,797,2
22102,929,2
22124,649,2
22125,2437,2
22134,55,2
22150,1210,2
22151,1128,2
22152,1750,2
22153,1177,2
22172,240,2
22180,1460,2
22181,942,2
22182,731,2
22191,1196,2
22192,1043,2
22193,1255,2
22201,7637,1
22202,3388,1
22203,7344,1
22204,4810,1
22205,2370,1
22206,4895,1
22207,1753,1
22209,12193,1
22213,2075,1
22301,3478,1
22302,3623,1
22303,4279,2
22304,4726,1
22305,4729,1
22306,1620,2
22307,1531,2
22308,1026,2
22309,1541,2
22310,1593,2
22311,5362,1
22312,2132,1
22314,4247,1
22315,1943,2
22401,910,2
22405,192,2
22406,100,3
22407,331,2
22408,200,2
22427,8,3
22432,43,3
22435,38,3
22436,10,3
22437,7,3
22438,5,3
22443,56,3
22448,31,3
22454,18,3
22460,14,3
22469,25,3
22473,20,3
22476,9,3
22480,156,2
22482,47,3
22485,47,3
22488,21,3
22503,22,3
22504,12,3
22508,88,3
22511,40,3
22514,11,3
22520,25,3
22529,12,3
22534,27,3
22535,26,3
22538,9,3
22539,60,3
22542,34,3
22546,36,3
22551,38,3
22553,105,2
22554,246,2
22556,256,2
22560,30,3
22567,24,3
22572,17,3
22576,73,3
22578,63,3
22580,21,3
22601,1136,2
22602,93,3
22603,54,3
22610,15,3
22611,42,3
22620,21,3
22623,204,2
22624,49,3
22625,30,3
22627,9,3
22630,87,3
22637,17,3
22639,12,3
22640,10,3
22641,22,3
22642,33,3
22644,24,3
22645,42,3
22650,14,3
22652,8,3
22654,4,3
22655,201,2
22656,106,2
22657,72,3
22660,72,3
22663,23,3
22664,70,3
22701,70,3
22709,26,3
22712,78,3
22713,20,3
22714,17,3
22715,45,3
22716,14,3
22718,8,3
22719,8,3
22720,20,3
22722,30,3
22724,37,3
22726,16,3
22727,21,3
22728,26,3
22733,10,3
22734,36,3
22735,25,3
22736,9,3
22737,26,3
22738,17,3
22740,7,3
22742,30,3
22747,13,3
22749,8,3
22801,396,1
22802,112,2
22810,17,3
22811,6,3
22812,73,3
22815,46,3
22820,4,3
22821,26,3
22824,28,3
22827,30,3
22830,6,3
22831,5,3
22832,18,3
22834,26,3
22835,32,3
22840,63,3
22841,34,3
22842,28,3
22843,8,3
22844,39,3
22846,59,3
22847,20,3
22849,43,3
22850,28,3
22851,42,3
22853,48,3
22901,265,2
22902,146,1
22903,197,2
22911,126,2
22920,23,3
22922,16,3
22923,36,3
22931,9,3
22932,26,3
22935,16,3
22936,52,3
22937,13,3
22938,14,3
22939,117,2
22940,13,3
22942,29,3
22943,33,3
22947,39,3
22949,15,3
22952,16,3
22958,27,3
22959,16,3
22960,32,3
22963,49,3
22967,10,3
22968,92,3
22969,13,3
22971,14,3
22972,13,3
22973,24,3
22974,40,3
22976,3,3
22980,177,2
23002,15,3
23004,9,3
23005,86,3
23009,30,3
23011,18,3
23015,19,3
23021,36,3
23022,15,3
23023,7,3
23024,30,3
23025,77,3
23027,12,3
23030,14,3
23032,7,3
23035,43,3
23038,10,3
23039,30,3
23040,12,3
23043,111,2
23047,16,3
23050,58,3
23055,22,3
23056,31,3
23059,254,2
23060,855,2
23061,51,3
23062,722,2
23063,18,3
23065,35,3
23066,108,2
23068,137,2
23069,18,3
23070,65,3
23071,60,3
23072,125,2
23075,854,2
23076,68,3
23079,8,3
23083,12,3
23084,17,3
23085,4,3
23086,15,3
23089,32,3
23091,5,3
23092,44,3
23093,23,3
23102,35,3
23103,50,3
23106,14,3
23109,45,3
23110,15,3
23111,176,2
23112,541,2
23113,255,2
23114,566,2
23116,151,2
23117,27,3
23119,42,3
23120,29,3
23123,18,3
23124,21,3
23125,49,3
23126,9,3
23128,36,3
23129,33,3
23130,20,3
23138,48,3
23139,37,3
23140,27,3
23141,68,3
23146,34,3
23148,11,3
23149,23,3
23150,165,2
23153,36,3
23156,16,3
23163,55,3
23168,96,3
23169,60,3
23175,55,3
23176,62,3
23177,14,3
23180,17,3
23181,32,3
23185,308,2
23188,161,2
23192,33,3
23219,1139,1
23220,3153,1
23221,2200,1
23222,1139,1
23223,1143,2
23224,1090,2
23225,1265,2
23226,1186,2
23227,1021,2
23228,1336,2
23229,905,2
23230,657,2
23231,152,2
23233,925,2
23234,784,2
23235,719,2
23236,682,2
23237,384,2
23238,507,2
23294,1889,2
23301,24,3
23303,44,3
23306,30,3
23307,39,3
23308,25,3
23310,34,3
23314,144,2
23315,21,3
23316,105,2
23320,635,2
23321,460,2
23322,128,2
23323,100,2
23324,1293,2
23325,1774,2
23336,73,3
23337,89,3
23347,19,3
23350,55,3
23356,158,2
23357,43,3
23359,19,3
23395,24,3
23405,16,3
23407,22,3
23410,29,3
23413,27,3
23415,26,3
23416,27,3
23417,37,3
23418,36,3
23420,29,3
23421,51,3
23422,26,3
23423,5,3
23426,19,3
23427,24,3
23430,66,3
23432,47,2
23433,300,2
23434,86,2
23435,241,2
23436,224,2
23437,17,2
23438,16,2
23440,181,2
23442,32,3
23451,1064,1
23452,1544,2
23453,1309,2
23454,753,2
23455,1183,2
23456,328,2
23457,23,2
23459,190,1
23462,2083,1
23464,1548,2
23480,86,3
23487,26,3
23502,781,1
23503,2589,1
23504,1878,1
23505,1881,2
23507,3691,1
23508,1762,2
23509,1944,2
23510,2654,1
23511,24,2
23513,2216,1
23517,2837,1
23518,1833,2
23523,1230,1
23601,1431,2
23602,1185,2
23603,188,2
23604,69,2
23605,1660,2
23606,1231,1
23607,1609,1
23608,1542,2
23651,362,2
23661,1223,2
23662,295,2
23663,1937,1
23664,823,2
23665,220,2
23666,1059,2
23669,1332,2
23690,144,2
23692,325,2
23693,622,2
23696,248,2
23701,1274,2
23702,1758,1
23703,705,2
23704,1475,1
23707,1439,2
23801,128,2
23803,217,2
23805,110,2
23821,10,3
23824,16,3
23827,11,3
23828,4,3
23829,6,3
23830,13,3
23831,520,2
23832,290,2
23833,16,3
23834,452,2
23836,165,2
23837,16,3
23838,54,3
23839,12,3
23840,15,3
23841,18,3
23842,20,3
23843,10,3
23844,7,3
23845,12,3
23846,8,3
23847,19,3
23850,8,3
23851,52,3
23856,9,3
23857,16,3
23860,218,2
23866,10,3
23867,10,3
23868,17,3
23872,10,3
23874,10,3
23875,121,2
23876,5,3
23878,11,3
23879,8,3
23881,8,3
23882,7,3
23883,17,3
23885,32,3
23887,13,3
23888,11,3
23889,7,3
23890,9,3
23893,7,3
23894,9,3
23897,4,3
23898,17,3
23899,61,3
23901,30,3
23915,9,3
23917,11,3
23919,38,3
23920,12,3
23921,10,3
23922,13,3
23923,11,3
23924,19,3
23927,26,3
23930,21,3
23934,8,3
23936,11,3
23937,11,3
23938,9,3
23942,8,3
23944,13,3
23947,14,3
23950,22,3
23954,13,3
23958,13,3
23959,9,3
23960,18,3
23962,6,3
23963,10,3
23964,11,3
23966,17,3
23967,10,3
23968,12,3
23970,29,3
23974,17,3
23976,13,3
24011,738,1
24012,616,2
24013,1382,1
24014,265,2
24015,1609,2
24016,1214,1
24017,1083,1
24018,347,2
24019,347,2
24053,21,3
24054,25,3
24055,66,3
24058,61,3
24059,16,3
24060,143,2
24064,59,3
24065,29,3
24066,13,3
24067,16,3
24069,23,3
24070,9,3
24072,19,3
24073,139,1
24076,12,3
24077,525,2
24078,456,2
24079,19,3
24082,22,3
24083,134,2
24084,39,3
24085,5,3
24087,34,3
24088,16,3
24089,102,2
24090,20,3
24091,18,3
24092,35,3
24095,75,3
24101,45,3
24102,22,3
24104,20,3
24105,9,3
24112,93,3
24120,12,3
24121,47,3
24122,24,3
24124,25,3
24127,7,3
24128,11,3
24132,17,3
24133,26,3
24134,23,3
24136,30,3
24137,15,3
24138,24,3
24139,11,3
24141,140,2
24147,73,3
24148,48,3
24149,25,3
24150,5,3
24151,50,3
24153,141,2
24161,8,3
24162,21,3
24165,16,3
24167,26,3
24171,18,3
24174,31,3
24175,47,3
24176,27,3
24179,164,2
24184,45,3
24185,10,3
24201,729,1
24202,42,3
24210,51,3
24211,59,3
24216,18,3
24217,9,3
24219,57,3
24220,14,3
24221,8,3
24224,25,3
24225,13,3
24226,22,3
24228,33,3
24230,30,3
24236,24,3
24237,9,3
24243,38,3
24244,13,3
24245,9,3
24246,371,2
24248,21,3
24250,10,3
24251,32,3
24256,24,3
24258,16,3
24260,30,3
24263,23,3
24265,9,3
24266,33,3
24269,16,3
24270,11,3
24271,18,3
24272,10,3
24273,43,3
24277,47,3
24279,24,3
24280,31,3
24281,19,3
24282,19,3
24283,37,3
24290,167,2
24292,9,3
24293,72,3
24301,77,3
24311,21,3
24312,27,3
24313,49,3
24314,7,3
24315,7,3
24317,44,3
24318,4,3
24319,35,3
24323,14,3
24324,24,3
24325,9,3
24326,9,3
24328,21,3
24330,36,3
24333,53,3
24340,40,3
24343,29,3
24347,10,3
24348,17,3
24350,11,3
24351,25,3
24352,13,3
24354,60,3
24360,29,3
24361,35,3
24363,8,3
24366,12,3
24368,24,3
24370,18,3
24374,12,3
24375,11,3
24377,4,3
24378,7,3
24380,13,3
24381,32,3
24382,32,3
24401,116,2
24416,62,3
24421,20,3
24422,33,3
24426,18,3
24430,18,3
24431,76,3
24432,3,3
24435,26,3
24437,27,3
24439,6,3
24440,37,3
24441,54,3
24445,12,3
24448,528,2
24450,31,3
24457,17,3
24458,2,3
24459,7,3
24460,3,3
24464,5,3
24465,4,3
24467,37,3
24471,34,3
24472,15,3
24473,8,3
24474,316,2
24476,17,3
24477,86,3
24479,10,3
24482,112,2
24483,4,3
24484,2,3
24485,2,3
24486,55,3
24487,2,3
24501,275,2
24502,577,1
24503,191,2
24504,117,1
24517,67,3
24520,11,3
24521,18,3
24522,19,3
24523,35,3
24526,10,3
24527,37,3
24528,13,3
24529,20,3
24530,13,3
24531,19,3
24534,13,3
24538,20,3
24540,179,2
24541,169,1
24549,33,3
24550,44,3
24551,115,2
24553,6,3
24554,14,3
24555,39,3
24556,27,3
24557,21,3
24558,28,3
24562,9,3
24563,35,3
24565,8,3
24566,15,3
24569,12,3
24571,17,3
24572,102,2
24574,14,3
24577,11,3
24578,14,3
24579,18,3
24580,12,3
24586,43,3
24588,50,3
24589,12,3
24590,19,3
24592,46,3
24593,22,3
24594,12,3
24597,10,3
24598,11,3
24599,5,3
24602,8,3
24603,20,3
24604,34,3
24605,80,3
24607,14,3
24609,31,3
24612,200,2
24613,33,3
24614,27,3
24620,16,3
24622,9,3
24628,20,3
24630,43,3
24631,18,3
24634,16,3
24635,48,3
24637,48,3
24639,34,3
24641,137,2
24646,27,3
24649,26,3
24651,17,3
24656,22,3
24657,9,3
24701,141,1
24712,73,3
24714,9,3
24715,28,3
24716,10,3
24726,6,3
24731,83,3
24733,60,3
24736,13,3
24738,103,2
24740,82,3
24747,30,3
24801,29,3
24808,17,3
24811,15,3
24813,16,3
24815,11,3
24817,33,3
24818,22,3
24822,20,3
24823,11,3
24827,15,3
24828,17,3
24831,57,3
24834,13,3
24836,8,3
24839,14,3
24844,14,3
24845,39,3
24847,67,3
24848,8,3
24849,13,3
24850,30,3
24851,243,2
24853,16,3
24854,34,3
24857,49,3
24860,40,3
24861,31,3
24862,25,3
24867,11,3
24868,17,3
24869,31,3
24870,31,3
24871,15,3
24872,11,3
24873,17,3
24874,18,3
24878,16,3
24879,18,3
24880,32,3
24881,21,3
24882,15,3
24884,5,3
24892,29,3
24894,22,3
24901,48,3
24910,13,3
24915,6,3
24916,15,3
24918,15,3
24920,2,3
24924,10,3
24925,11,3
24927,4,3
24931,10,3
24934,4,3
24935,10,3
24938,22,3
24941,7,3
24944,6,3
24945,11,3
24946,3,3
24951,16,3
24954,5,3
24957,37,3
24963,31,3
24966,3,3
24970,48,3
24974,16,3
24976,14,3
24977,13,3
24981,23,3
24983,9,3
24986,10,3
24991,5,3
25003,32,3
25005,15,3
25007,42,3
25009,16,3
25011,825,2
25015,79,3
25019,10,3
25021,19,3
25024,39,3
25028,48,3
25030,11,3
25031,61,3
25033,37,3
25035,44,3
25036,23,3
25039,21,3
25040,444,2
25043,6,3
25044,10,3
25045,17,3
25047,21,3
25049,15,3
25053,37,3
25054,10,3
25057,155,2
25059,24,3
25060,9,3
25061,29,3
25063,8,3
25064,669,2
25067,84,3
25070,147,2
25071,47,3
25075,7,3
25076,16,3
25081,33,3
25082,13,3
25083,9,3
25085,27,3
25086,612,2
25102,136,2
25103,37,3
25106,16,3
25107,10,3
25108,38,3
25109,358,2
25110,11,3
25111,9,3
25113,12,3
25114,20,3
25118,24,3
25119,14,3
25121,24,3
25123,12,3
25124,16,3
25125,14,3
25130,71,3
25132,6,3
25133,23,3
25134,24,3
25136,83,3
25139,322,2
25140,8,3
25142,38,3
25143,433,2
25148,32,3
25149,12,3
25152,43,3
25154,18,3
25159,58,3
25160,20,3
25161,12,3
25162,851,2
25164,16,3
25165,64,3
25168,31,3
25169,11,3
25173,12,3
25174,16,3
25177,342,2
25181,11,3
25186,49,3
25187,7,3
25193,9,3
25202,46,3
25204,5,3
25205,28,3
25206,18,3
25208,5,3
25209,20,3
25213,61,3
25214,20,3
25234,11,3
25235,11,3
25239,27,3
25241,31,3
25243,8,3
25244,10,3
25245,10,3
25247,103,2
25248,17,3
25251,12,3
25252,7,3
25253,17,3
25259,7,3
25260,246,2
25261,13,3
25262,49,3
25264,28,3
25265,408,2
25266,9,3
25267,5,3
25268,9,3
25270,10,3
25271,39,3
25275,14,3
25276,19,3
25285,21,3
25286,10,3
25287,15,3
25301,1537,1
25302,576,2
25303,930,2
25304,374,2
25306,74,3
25309,162,2
25311,179,2
25312,88,3
25313,276,2
25314,249,2
