status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date
for_sale,4299000,4,4,0.07,"20 Rowes Wharf Unit 408-508, Boston, MA, 02110",20 Rowes Wharf Unit 408-508,Boston,Massachusetts,2110,2933,
for_sale,1539000,3,3,0.29,"340 W 2nd St Unit 9B, Boston, MA, 02127",340 W 2nd St Unit 9B,Boston,Massachusetts,2127,1721,
for_sale,2000000,9,9,0.28,"14 Crestway Rd, Boston, MA, 02128",14 Crestway Rd,Boston,Massachusetts,2128,6655,
for_sale,16990000,3,5,,"63 Mount Vernon St Ph Bulfinch, Boston, MA, 02108",63 Mount Vernon St Ph Bulfinch,Boston,Massachusetts,2108,4745,
for_sale,1149900,2,3,,"27 Woodmere Dr Unit 17, Milton, MA, 02186",27 Woodmere Dr Unit 17,Milton,Massachusetts,2186,1849,
for_sale,495000,1,1,,"202-206 K St Unit 3, South Boston, MA, 02127",202-206 K St Unit 3,South Boston,Massachusetts,2127,530,
for_sale,1450000,3,3,,"106 Fulton St Unit 1A, Boston, MA, 02109",106 Fulton St Unit 1A,Boston,Massachusetts,2109,2057,
for_sale,2995000,6,9,0.04,"592A E Broadway, Boston, MA, 02127",592A E Broadway,Boston,Massachusetts,2127,4425,
for_sale,1850000,12,6,0.11,"54 Greendale Rd, Boston, MA, 02126",54 Greendale Rd,Boston,Massachusetts,2126,5838,
for_sale,635000,1,1,,"360 W Second St Unit 9, South Boston, MA, 02127",360 W Second St Unit 9,South Boston,Massachusetts,2127,742,
for_sale,815000,3,1,,"642 E 3rd St Unit 1, Boston, MA, 02127",642 E 3rd St Unit 1,Boston,Massachusetts,2127,1181,
for_sale,975000,2,2,,"457 W Broadway Unit 202, South Boston, MA, 02127",457 W Broadway Unit 202,South Boston,Massachusetts,2127,1027,
for_sale,1100000,2,2,,"457 W Broadway Unit 501, South Boston, MA, 02127",457 W Broadway Unit 501,South Boston,Massachusetts,2127,968,
for_sale,995000,2,2,,"457 W Broadway Unit 407, South Boston, MA, 02127",457 W Broadway Unit 407,South Boston,Massachusetts,2127,928,
for_sale,890000,2,1,,"457 W Broadway Unit 505, South Boston, MA, 02127",457 W Broadway Unit 505,South Boston,Massachusetts,2127,745,
for_sale,975000,2,2,,"457 W Broadway Unit 301, South Boston, MA, 02127",457 W Broadway Unit 301,South Boston,Massachusetts,2127,968,
for_sale,580000,2,2,,"17 High St Unit 1, Milton, MA, 02186",17 High St Unit 1,Milton,Massachusetts,2186,1297,
for_sale,749000,3,4,,"17 Ashland St Unit 1, Boston, MA, 02122",17 Ashland St Unit 1,Boston,Massachusetts,2122,1401,
for_sale,899900,5,2,0.08,"25 Teragram St, Boston, MA, 02128",25 Teragram St,Boston,Massachusetts,2128,2376,
for_sale,980000,3,2,,"85 Willow Ct Unit 401, Boston, MA, 02125",85 Willow Ct Unit 401,Boston,Massachusetts,2125,1385,
for_sale,1850000,2,2,,"1 Franklin St Unit 1905, Boston, MA, 02110",1 Franklin St Unit 1905,Boston,Massachusetts,2110,1161,
